DATE,household,business,private,gov,currentaccount
1960-01-01,17.4,-8,9.3,-7.6,1.7
1960-04-01,17.3,-3.8,13.5,-11,2.5
1960-07-01,20.4,-2.5,17.9,-14.2,3.7
1960-10-01,19.7,3.1,22.8,-18.1,4.8
1961-01-01,23.9,2.2,26.1,-20.7,5.3
1961-04-01,25,0.6,25.6,-21.6,4.0
1961-07-01,27.6,-3.2,24.3,-20.6,3.8
1961-10-01,27.7,-4.3,23.4,-19.7,3.7
1962-01-01,27.9,-2.9,25,-21.9,3.1
1962-04-01,27,-0.7,26.3,-21.5,4.8
1962-07-01,26.5,-1.6,24.9,-20.7,4.1
1962-10-01,25.2,-0.6,24.6,-21.3,3.2
1963-01-01,25.6,-3,22.6,-18.7,3.9
1963-04-01,24.4,-2.7,21.7,-16.4,5.3
1963-07-01,23.7,-0.7,23,-18.3,4.6
1963-10-01,27.1,-3,24,-18.1,6.0
1964-01-01,27,2.5,29.5,-21.3,8.2
1964-04-01,32.8,0.3,33.1,-26.3,6.7
1964-07-01,31.5,-1.4,30.1,-22.5,7.6
1964-10-01,35.5,-8.3,27.2,-19.9,7.3
1965-01-01,31.4,-10,21.5,-15.7,5.7
1965-04-01,31.9,-8.2,23.7,-16.7,7.0
1965-07-01,37.9,-6.2,31.8,-25.8,6.0
1965-10-01,35.6,-3.6,32,-26.1,5.9
1966-01-01,34.3,-7.6,26.7,-22,4.7
1966-04-01,36.1,-9.9,26.2,-22.3,3.9
1966-07-01,39,-9.7,29.3,-26.6,2.7
1966-10-01,46.2,-11.4,34.7,-30.8,3.9
1967-01-01,52.3,-7.8,44.5,-40.1,4.4
1967-04-01,47.5,-4.4,43.1,-39.5,3.6
1967-07-01,50,-6.5,43.5,-40.3,3.2
1967-10-01,50.5,-9.6,40.9,-38,2.8
1968-01-01,49.3,-12.7,36.6,-35,1.7
1968-04-01,51.5,-12,39.5,-37.3,2.2
1968-07-01,42.8,-12.3,30.5,-29.1,1.5
1968-10-01,43.8,-14.3,29.5,-28.7,0.8
1969-01-01,37.5,-18,19.5,-17.9,1.6
1969-04-01,41.5,-22.3,19.3,-18.6,0.6
1969-07-01,54.6,-28.3,26.3,-24.8,1.5
1969-10-01,58.1,-30.1,28,-25.3,2.7
1970-01-01,62.3,-22.7,39.6,-35.9,3.8
1970-04-01,70.1,-19.2,50.9,-45.7,5.2
1970-07-01,76.8,-19,57.8,-54.3,3.5
1970-10-01,75.1,-11.5,63.6,-61.2,2.4
1971-01-01,76.4,-14.6,61.8,-57.5,4.3
1971-04-01,78.8,-12.7,66.1,-66.1,0.1
1971-07-01,75.6,-10.2,65.4,-65.8,-0.3
1971-10-01,69.5,-9.4,60,-62.9,-2.8
1972-01-01,61.1,-11.2,49.9,-55,-5.0
1972-04-01,56.7,-7.3,49.4,-54.2,-4.8
1972-07-01,61.5,-16.4,45.1,-48.8,-3.6
1972-10-01,75.9,-28.2,47.7,-50.5,-2.8
1973-01-01,66.5,-26.3,40.3,-38.1,2.2
1973-04-01,79.8,-29.2,50.5,-45.2,5.4
1973-07-01,84.4,-35.7,48.7,-36.2,12.5
1973-10-01,102,-49.3,52.7,-37.3,15.4
1974-01-01,101.8,-42.6,59.1,-42.6,16.5
1974-04-01,94.3,-51.7,42.7,-40,2.7
1974-07-01,95.4,-41.6,53.7,-53.5,0.3
1974-10-01,117.4,-42.5,74.8,-70.4,4.4
1975-01-01,110.8,10.9,121.7,-103.9,17.9
1975-04-01,147.6,28.2,175.8,-154.4,21.5
1975-07-01,113.5,20.7,134.2,-115.8,18.4
1975-10-01,111.2,30.4,141.6,-120.1,21.6
1976-01-01,100.7,19.5,120.2,-107.1,13.2
1976-04-01,95.1,7.1,102.1,-93.2,9.0
1976-07-01,95.3,0.2,95.5,-93.1,2.4
1976-10-01,80,15.8,95.8,-92,3.8
1977-01-01,57.1,15.4,72.5,-80.6,-8.0
1977-04-01,64.9,5.9,70.8,-79.7,-8.8
1977-07-01,75.5,-4.5,71,-78.9,-7.9
1977-10-01,86.4,-22.7,63.7,-82.7,-18.9
1978-01-01,89.9,-30.8,59,-84.1,-25.0
