Degree Field	MaleDeg	FemaleDeg	MaleDeg5+	FemaleDeg5+	Sum
Business	123,418	107,763	31,098	22,816	231,181
Education Administration and Teaching	26,467	97,548	13,720	41,268	124,015
Engineering 	69,425	14,611	24,895	5,055	84,036
Medical and Health Sciences and Service 	13,545	66,878	6,163	18,950	80,423
Social Sciences	36,514	31,450	14,080	12,397	67,964
Psychology	15,559	35,696	5,768	16,999	51,255
Biology and Life Sciences	23,903	24,802	13,831	11,309	48,705
Communications	20,469	27,788	3,797	5,233	48,257
Fine Arts 	18,519	24,214	4,368	5,820	42,733
Computer and Information Sciences	26,195	11,712	7,757	3,350	37,907
Physical Sciences	18,029	9,571	10,056	4,122	27,600
English Language, Literature, and Composition	7,503	15,123	2,821	6,858	22,626
Criminal Justice and Fire Protection	11,762	9,461	2,536	2,009	21,223
Physical Fitness, Parks, Recreation	7,171	6,559	1,984	2,010	13,730
Public Affairs, Policy, and Social Work	3,493	10,079	1,611	4,277	13,572
History	9,468	3,630	4,079	1,943	13,098
Liberal Arts and Humanities	5,021	7,002	1,736	2,260	12,023
 Family and Consumer Sciences	1,335	8,821	575	1,819	10,156
Interdisciplinary and Multi-Disciplinary Studies	2,853	7,001	587	3,182	9,854
Linguistics and Foreign Languages	3,306	6,378	1,427	3,049	9,684
Engineering Technologies 	7,746	1,573	2,556	467	9,319
Mathematics and Statistics	5,788	3,464	2,440	1,853	9,252
Agriculture 	4,419	4,000	1,217	723	8,419
Architecture 	4,193	1,886	1,177	606	6,079
Environment and Natural Resources 	2,879	2,798	1,205	725	5,677
Philosophy and Religious Studies	3,919	1,648	1,341	847	5,567
Transportation Sciences and Technologies	4,205	234	1,009	117	4,439
Theology and Religious Vocations	3,755	568	1,066	62	4,323
Law	1,861	989	1,311	188	2,850
Area, Ethnic, and Civilization Studies	686	1,768	252	867	2,454
Construction Services	1,910	63	58	0	1,973
Cosmetology Services and Culinary Arts	1,323	439	0	0	1,762
Communication Technologies 	900	146	284	0	1,046
Library Science	103	336	103	159	439
Nuclear, Industrial Radiology	64	340	0	0	404
Electrical and Mechanic Repairs and Technologies	114	0	63	0	114
Military Technologies	35	0	35	0	35
